"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007264","small GTPase mediated signal transduction","336/10656","444/28928",0.756756756756757,2.05437870302735,17.0979239927113,2.864829359738e-63,1.8730254353967e-59,5.60903432538177e-60,"211673/26921/74018/329165/18802/26554/210293/227377/64143/226407/98710/19731/78255/226652/16456/93840/226751/320404/21808/73910/83767/110279/17311/216344/215449/117600/12566/13169/319939/68585/74563/216724/192786/72729/216805/216831/18208/76281/380711/12928/216963/21927/16706/18015/59040/16400/18053/13866/268480/11858/544817/18613/14674/56699/14784/19157/21858/108100/192662/170758/11852/19878/22630/238130/11855/56784/11845/20663/80837/104886/217692/68339/212539/217944/14569/56349/140580/193385/11607/20354/27261/14062/110596/20620/14165/68760/71704/64652/239027/11549/68813/246710/19645/24064/76108/223254/105445/223601/105841/72318/104445/20401/105835/73167/12614/223864/223881/69159/26934/83945/14811/12929/65079/12053/27281/77446/12549/56297/19876/21844/16443/24001/100310872/21648/100040531/22084/214952/14570/240057/12575/19732/54402/14251/12488/22324/19765/19328/260409/104215/75415/19877/12558/212307/74002/24066/18596/623279/11854/20469/104252/19395/76088/107351/16889/74055/71085/107338/73728/56350/56392/11554/71653/20163/215632/18128/22325/19730/107746/27387/99326/241308/227743/69601/227801/76117/74194/56508/108699/50884/16410/228355/228357/228359/104418/19419/228543/75083/241694/20779/228850/545481/99371/76829/12428/24063/19338/74012/213498/16800/19769/57912/18129/11853/12977/99662/57257/214137/29815/108058/214804/99167/53378/68016/11303/14745/329877/13131/74754/100169/242687/16765/13844/110351/14726/269608/11603/19699/19744/231134/20563/23881/56041/320292/231532/22241/330171/26431/77407/333050/19415/17165/72399/23912/56715/319974/54153/23921/14673/75104/19353/19159/243362/17295/320127/11517/20166/70527/232227/70727/243621/14812/13860/16653/67425/232906/319197/11816/260299/74206/233071/18226/69903/19158/20430/75547/233489/109689/56212/66922/53322/70497/233877/330662/76484/15461/102098/54126/17207/19414/14272/211323/19053/244418/50768/234353/53978/15368/18032/114255/75687/12554/69581/19341/330863/244668/18186/16412/71544/13430/235041/319899/330914/57810/69632/11814/244867/19684/270160/26395/102442/12175/68178/19417/114713/74769/17532/208869/56289/235611/67169/75974/72065/236915/94190/27494/245666",336
"GO:0050803","regulation of synapse structure or activity","305/10656","398/28928",0.766331658291457,2.08037182911555,16.5737071960316,1.17216608891653e-59,3.83181094466814e-56,1.14748890809723e-56,"29819/210933/20353/329165/18187/13838/210293/53972/19329/16560/226359/74117/14270/103967/93840/93842/19165/226778/22782/16798/17118/14360/216028/64451/216169/54712/108030/320150/13169/12323/66713/68585/20692/22416/216831/18208/77579/442801/13643/216856/13385/237868/18015/12569/11418/217124/56013/18013/53321/77097/18750/14674/217333/108100/170758/11852/80913/19878/238130/319504/238205/320772/11845/59036/20474/217692/19164/18222/399558/73086/11651/140580/68404/18003/94245/67252/20354/26564/56320/15387/18212/26556/17755/18708/554327/268709/71228/11843/22418/319476/12294/239027/14803/268747/18002/73181/19229/105689/76965/75409/76108/223254/22631/319613/13196/239528/14083/107831/11838/378937/57028/18693/58234/106042/11419/65079/27801/208643/13845/104156/16180/74143/545156/56637/207683/58998/16423/19876/11820/21844/16443/17356/21826/268932/22084/240057/26416/74762/22154/70530/19280/13640/56724/18189/16573/19877/12558/100042150/17919/225875/12631/72289/18190/396184/13728/226016/22359/19211/208922/20562/72832/73728/18011/227580/241263/99152/14810/171171/69601/66860/56508/241514/228357/53872/12064/18429/20614/433485/228836/19281/241770/57138/228880/19246/11538/192167/208188/26570/13175/72162/386750/20351/13636/11444/320747/76742/229715/56376/99633/13841/18391/269523/19266/15569/13131/16975/19268/107995/230775/13844/65945/13542/11603/14362/50791/19699/19744/12933/20563/319387/52398/19249/13602/117146/13048/19353/243725/73178/27205/19242/20617/14804/12386/13191/232227/22421/243548/16979/18430/259302/72895/269788/52163/22346/211187/381813/14812/19277/232560/22192/11816/18223/80749/233067/233071/259277/272381/72961/140919/20430/22215/11441/20450/18213/29875/70178/233489/56212/13631/12752/330662/210274/14182/211323/211134/26364/330814/212139/65114/12564/112405/244667/16412/14739/15898/58235/16154/20361/17999/21983/20616/64085/270190/20350/235604/13138/80987/12387/12361/14735/16728/245537/60367/27494/245666",305
"GO:0050807","regulation of synapse organization","299/10656","390/28928",0.766666666666667,2.08128128128128,16.417800794524,1.41283360981086e-58,3.07903538031447e-55,9.22059829560773e-56,"29819/210933/20353/329165/18187/13838/210293/53972/19329/16560/226359/74117/14270/103967/93840/93842/19165/226778/22782/16798/17118/14360/216028/64451/216169/54712/108030/320150/13169/12323/66713/68585/20692/22416/216831/18208/77579/442801/13643/216856/13385/237868/18015/12569/11418/217124/56013/18013/53321/77097/18750/14674/217333/108100/170758/11852/80913/19878/238130/319504/238205/320772/11845/59036/20474/217692/19164/18222/399558/73086/11651/140580/68404/18003/94245/67252/20354/26564/56320/15387/18212/26556/17755/18708/268709/71228/11843/22418/319476/12294/239027/14803/268747/18002/73181/19229/105689/76965/75409/76108/223254/22631/13196/239528/14083/107831/11838/378937/57028/58234/106042/11419/65079/27801/208643/13845/104156/16180/74143/545156/56637/207683/58998/16423/19876/11820/21844/16443/17356/21826/268932/22084/26416/74762/22154/70530/19280/13640/56724/18189/16573/19877/12558/100042150/17919/225875/12631/72289/18190/396184/13728/226016/22359/19211/208922/20562/72832/73728/18011/227580/241263/99152/14810/171171/69601/66860/56508/241514/228357/53872/12064/18429/20614/433485/228836/19281/241770/57138/228880/19246/11538/192167/208188/26570/13175/72162/386750/20351/13636/11444/320747/76742/229715/56376/99633/13841/18391/269523/19266/15569/13131/16975/19268/107995/230775/13844/65945/13542/11603/14362/50791/19699/19744/12933/20563/319387/52398/19249/13602/117146/13048/19353/243725/73178/27205/19242/20617/14804/12386/13191/232227/22421/243548/16979/18430/259302/72895/269788/52163/22346/211187/381813/14812/19277/232560/22192/11816/18223/80749/233067/233071/259277/272381/20430/22215/11441/20450/18213/29875/70178/233489/56212/13631/12752/330662/210274/14182/211323/211134/26364/330814/212139/65114/12564/112405/244667/16412/14739/15898/58235/16154/20361/17999/21983/20616/64085/270190/20350/235604/13138/80987/12387/12361/14735/16728/245537/60367/27494/245666",299
"GO:0016055","Wnt signaling pathway","340/10656","467/28928",0.728051391862955,1.97645182655889,16.2457567130861,4.74844787606759e-57,7.76133805343247e-54,2.32424027618045e-54,"211383/14369/227210/14367/22420/22409/319998/26554/20479/723818/20668/329252/12316/214498/110648/93840/226778/110957/16798/21929/18605/72780/56484/54198/83675/12833/20869/103236/59004/13144/21886/114606/213326/14160/15364/24117/13198/14632/16971/84035/407821/14783/13649/17847/103583/214105/22210/21414/22416/216795/380702/13543/76281/15248/18230/18099/217011/207742/18121/12842/16400/21833/16480/74499/57265/22412/12006/20682/26941/672511/77583/170758/104318/20969/73389/66042/59036/208846/19042/19164/68339/66787/14634/195208/20677/621976/75607/20729/26564/26385/21752/72114/218581/26401/14165/22418/218952/73181/50523/14180/219134/72125/20680/14365/219158/64929/13618/68889/105787/13132/432940/18163/20356/56274/70790/68588/239405/14042/17869/27373/22422/106042/22410/22408/74775/56612/67488/20583/13544/75826/16646/56637/56297/11820/21844/50873/73016/11984/18763/22084/12005/26416/13001/71461/76441/271457/268980/19043/20473/68010/14370/67974/12558/56515/11789/20890/13653/56736/70425/494504/17191/17128/16973/67457/13728/66072/13194/21888/14682/107351/19211/74493/14296/212398/226154/12234/30838/16825/21416/14773/67122/18128/107746/69601/24136/320343/73668/20378/12388/228357/17242/12505/107515/23892/76246/70997/12156/12995/20779/58231/72043/20613/11538/76425/81004/665113/20674/14173/269424/56458/97064/20439/68259/20319/229473/77578/22414/53883/16842/56811/319478/18033/68151/100201/140577/269523/53614/16600/21885/70122/26563/108079/67916/666048/66743/11426/433759/19273/22417/70433/71890/67087/13542/14362/18647/14184/19664/18764/72357/21405/93897/12054/14371/19353/16543/12389/22413/387223/21415/66277/22421/17342/330390/58799/232334/22419/232341/19277/232560/629378/11816/21803/54624/12447/68667/20174/27412/233328/17292/14366/244152/22411/100503386/16202/22083/74996/50781/11865/64297/21804/14183/77938/360216/12443/20377/353310/78560/21951/12876/65114/20437/26992/93960/74256/58198/23802/13000/12560/80707/14241/244667/22601/75723/23988/80288/330938/66317/21887/17127/72135/235497/21983/235542/56332/20187/74025/107934/71268/207181/12387/29806/54644/17986/56805/11798/14735/14734/270624/72345/13607",340
"GO:0044772","mitotic cell cycle phase transition","333/10656","455/28928",0.731868131868132,1.98681318681319,16.2024163907,8.80047982782723e-57,1.15075074228669e-53,3.44608262731761e-54,"109019/329152/12021/227292/319651/26554/227331/12043/20479/76707/214498/108989/18514/66977/208768/110957/76843/67141/16798/17863/21987/216021/12534/20587/15468/216166/21423/27375/56371/216190/69754/327799/12905/368203/52679/52468/723962/12567/69917/68094/12566/12323/15574/13649/68145/70385/12450/380694/72290/19052/19360/216825/68964/20877/14841/237877/53892/83560/23834/83796/74370/66156/71276/194655/20135/15902/59036/238271/15512/19363/12192/70127/71375/12313/26931/74335/11651/16323/238555/13557/19134/15904/66197/20184/18014/218294/21752/12572/268697/20620/218630/14165/268709/218793/12325/11792/19188/219103/50523/67153/72400/19645/66214/27401/448987/382985/19357/319944/105837/17869/223843/77044/22410/83797/11479/12914/83383/208643/75826/13383/11820/11504/60364/72057/67045/268930/12449/18763/19252/12575/57261/106795/12445/70891/50850/116871/12193/12314/67974/225182/63955/13872/11789/52563/16906/12322/70799/66468/67655/18018/52004/19708/17283/16319/13194/226026/67155/19211/240665/68431/78832/18761/30963/67121/99152/59126/67857/12298/11477/66442/228361/104418/26427/74268/12236/76464/72008/68142/17222/12531/18795/228714/13555/75608/19650/68612/56190/723951/18767/66371/13559/56456/12428/269424/12427/53317/18008/229776/72776/108058/229841/19055/13684/12448/67628/16600/66209/214444/18028/12578/18027/381534/18392/12580/50927/12795/107995/52276/116748/269582/100088/19891/93760/68592/108911/14726/12571/18647/27214/18669/66993/107976/21335/81702/12453/12452/70681/18764/12545/18973/50883/12704/330177/56317/59008/77045/208628/12054/231803/330216/17120/11461/264064/12366/14056/93695/56150/24100/22591/17193/12122/12034/16493/12444/12576/13860/381979/77891/57775/12315/21803/29861/12447/77011/12144/24075/22390/74996/18817/30949/77035/12055/12237/71007/52432/75770/12577/12443/244281/234069/99375/21781/69957/13685/68251/18032/26992/19651/116733/234736/56453/76454/69581/16412/12581/67629/235041/12649/102423/26951/19684/11920/246735/20466/13076/56469/68014/67941/59046/50875/22137/235559/12530/20588/270201/76499/636931/235661/69274/387218/72584/14199/54601",333
"GO:0007015","actin filament organization","342/10656","476/28928",0.718487394957983,1.95048830342948,15.9679665303901,4.07816855916437e-55,4.44384433996944e-52,1.33077079299048e-52,"211673/17974/56363/17912/329165/241112/22349/26554/227357/12043/76707/74117/16456/21346/13800/19130/16798/73910/17118/83767/171580/11994/74392/12798/114606/319277/22027/237436/114774/18016/78926/13169/12808/66713/20742/268396/71774/30794/11840/14457/77579/442801/18643/19062/17913/76566/237860/216961/21927/338367/66196/320472/217124/217125/11858/67803/18613/56699/14784/108100/11465/238021/170758/11852/76820/19878/16413/11845/80837/20741/109711/21809/14026/70435/11472/140580/19720/68732/218194/67252/75477/56320/97895/218397/57748/72114/544963/18708/26401/268709/68760/18753/218952/63985/268747/19229/246710/20410/13829/66214/56419/19219/78757/20356/211401/223601/14787/18810/17886/104445/20401/57028/18693/207495/58234/223864/223881/65970/78885/68606/13383/224105/16419/16423/66616/22350/50873/27361/23969/80880/12488/20807/76441/14158/260409/213556/18754/104215/225115/75415/225288/30948/13367/319262/22240/104027/170826/68166/17919/23789/245857/11854/12631/104252/107351/54132/20411/27360/71653/269233/18761/74103/64930/20740/108897/227753/74192/24136/74194/241431/22138/50884/723953/74569/14260/228543/19261/15901/20779/545481/20971/140579/277360/208188/18759/18706/229474/99889/16800/59069/20194/11853/12340/71994/118449/211556/242253/73205/100862177/21754/230101/21916/21812/230234/677884/14745/242553/12331/66938/17357/242687/16765/230837/22417/12345/72754/71890/56717/56226/100504239/100042493/18829/22388/20563/77569/320827/52822/27428/23790/231637/231646/63873/19303/12704/56378/23912/29816/73121/16885/215114/231830/14086/19353/66898/245880/243725/17295/12343/73178/109624/14489/109880/22793/13835/330319/12922/56753/12332/19240/12386/21336/236266/11519/68089/28006/194401/13860/232906/22323/101497/63986/60595/54631/52428/243961/384619/14453/20430/21872/70420/29875/434204/50490/18479/17921/22411/109689/207278/69710/16332/56212/20947/320878/70497/12721/233877/233977/102098/234094/67384/50768/14107/326618/234686/12927/72042/234857/69581/18186/15894/13430/235041/69524/19684/19200/235431/17127/74492/22003/71602/68178/17918/208943/50875/50876/17920/102502/17973/22041/23999/76499/22351/22437/208431/15185/23963/192176/71584/54004/110380/58194/11856",342
"GO:0099173","postsynapse organization","249/10656","314/28928",0.792993630573248,2.15275147759224,15.6843666307995,6.4935600954468e-54,6.06498512914731e-51,1.81624387632046e-51,"29819/20353/329165/18187/13838/210293/53972/16560/226359/74117/103967/70729/19165/226778/22782/16798/17118/14360/64451/216169/380684/13169/12323/66713/68585/11840/216831/380702/77579/442801/11443/216856/13385/12928/18015/12569/11418/217124/16400/56013/53321/50997/16416/77097/14674/217333/18164/108100/170758/80913/19878/238130/319504/11845/59036/268566/109711/217692/19164/18222/18191/399558/73086/19141/11651/11472/140580/18003/94245/26564/56320/15387/26556/17755/15550/268709/71228/11843/22418/239027/14803/268747/18002/19229/223254/14573/18163/13196/107831/11838/223666/18693/73340/58234/106042/11419/83945/14811/12929/65079/27801/13845/104156/16180/74143/13383/545156/14432/58998/11820/21844/16443/22350/17356/268932/22084/240057/106504/70530/19280/56724/18189/12558/17919/225875/20743/12631/18190/13728/226016/19211/208922/20411/73728/226180/18011/227580/14810/171171/66860/56508/241514/228357/75786/104418/53872/433485/57138/228880/19246/16776/192167/208188/26570/13175/72162/386750/13636/76742/56376/13841/18391/230235/19266/20404/16975/19268/329942/242687/13844/67830/13542/11603/50791/19699/19744/231134/12933/319387/231637/117146/12704/19894/13048/29816/14371/11461/19353/243725/73178/192198/19242/14804/22421/243547/243548/259302/269788/22346/243621/14812/232533/232560/232813/22192/11816/18223/80749/233071/243961/272381/71974/22215/11441/16001/18213/29875/70178/23859/56212/13631/330662/210274/16337/54126/14182/14272/70546/211134/212139/65114/244667/18186/16412/14739/54725/319477/270163/270190/81907/20350/80987/15185/12361/236915/94190/245537/83453/245684",249
"GO:0031400","negative regulation of protein modification process","309/10656","420/28928",0.735714285714286,1.9972543972544,15.721826183206,1.36367045720792e-53,1.11445968115317e-50,3.33740401369307e-51,"213539/17974/227292/56812/98496/18627/66915/108900/381290/19735/117198/63913/69726/19165/108909/63953/67141/215748/16798/21929/18605/14360/171580/18768/93759/110532/17873/70312/15353/12952/103136/69754/327799/67603/52468/723962/170835/18016/268373/16009/114716/18148/22210/15525/16362/216805/56310/216869/19062/18230/18015/52615/217039/320472/70834/56013/28084/69847/72349/71059/17762/18613/18750/19084/12702/208092/209011/16413/18755/110893/19164/12062/66787/70369/11651/69237/19720/20677/12593/94245/20354/23882/51791/12328/26914/72948/72114/15357/18260/268697/238871/18115/554327/68045/18753/24056/67296/50523/72400/13829/14586/19645/52023/24064/100037258/105787/170719/97998/211770/107831/18810/66914/12257/14114/83383/83945/12703/68606/12929/208643/75826/77446/547253/209200/56637/75296/50873/17171/18607/224617/22084/19252/106504/12575/15511/21770/18519/14154/64144/20541/18754/56468/11789/24066/269016/17131/16973/110355/240518/19697/17283/208518/14682/19211/76055/70769/18569/76857/227733/69601/57438/66861/19271/19099/72446/80985/15259/18508/114715/56398/19261/215653/12156/53626/228775/66971/20648/19281/18769/52840/19246/229007/18767/24063/97064/20319/14466/56417/229615/17096/73205/12017/21754/230126/20404/12578/18786/16476/108079/67916/12580/69216/56401/230738/70012/67025/13844/71890/56717/74155/57320/18762/13542/15234/108099/231125/20563/19017/19023/231474/19249/100503670/23790/21405/23980/56334/56715/16885/58805/15507/66801/11461/320365/12389/17295/319757/13835/20617/56150/13197/26903/66277/19016/232341/12576/19277/18752/22185/232854/19060/11816/80794/260299/21803/243911/56188/18226/67605/12028/17872/69903/22088/71974/11441/233328/11819/18213/23991/109689/18817/56420/78388/101490/12577/16337/20377/12367/14232/75141/320795/80750/56513/57321/11606/93742/66917/72828/21838/54725/66867/244923/14629/235505/209743/17973/235584/22258/97541/56693/333433/69274/387218/12387/72330/74770/15185/14381/70315/12069",309
"GO:0045859","regulation of protein kinase activity","347/10656","494/28928",0.702429149797571,1.90689474900001,15.5259127997178,3.97628600408632e-52,2.88855087719071e-49,8.65016604397726e-50,"227154/74018/329165/227210/14367/18173/12570/69171/13838/12283/108679/21934/64143/71111/108900/19735/381306/93840/69726/19165/108909/63953/21808/110957/19130/16798/70097/21929/26408/21987/12484/18768/216021/93759/110532/20869/17873/69754/17311/15364/216439/18016/268373/13649/68145/14172/18148/15944/19052/16145/22416/26397/18858/320207/13543/216869/19062/66601/20370/22032/16706/18015/12569/217039/74133/320472/67468/71943/56013/69131/13866/12775/28084/69847/72349/71059/16416/72149/78943/18750/19084/26399/26941/208092/15239/217410/16413/18755/110893/19164/66787/11651/69237/19720/18003/94245/23882/20963/51791/26914/15357/27220/26401/68045/22418/18753/24056/218952/67296/16475/50523/239126/19229/11549/19645/21943/66214/52023/24064/100037258/19116/97998/211770/11514/14083/18810/105844/223690/18591/66513/14375/26404/83383/83945/224014/68606/71751/13383/77446/19876/11820/66616/75296/26407/18607/22084/30957/268933/12005/19252/106504/12575/26382/18712/12411/13163/81877/106763/12445/18519/14154/64144/70891/20541/56468/18189/14370/67974/11789/24066/14164/18596/16973/26403/17283/26412/107328/109910/14682/22359/16452/19211/70769/18011/18569/11551/78832/11308/22030/64930/69601/24136/19271/19099/15259/23892/114715/19419/56398/14118/11552/12531/215653/12156/228775/72119/66971/20779/19281/18769/52840/21939/19246/13616/229007/18767/13605/18706/14173/24063/97064/74012/56426/54635/20319/50754/76927/14466/13636/56417/23922/18129/99470/12977/56742/242202/118449/229841/16007/17096/26409/21754/230126/12578/13131/16975/12580/269582/230784/55948/70012/13844/56717/74155/57320/11603/15234/19699/108099/100732/231125/15194/231134/11553/104443/231474/56747/23790/19303/330177/15507/66801/18590/75104/11461/14254/12389/13835/14056/20617/13197/52163/19016/12444/12576/19277/110891/11816/80794/269881/18226/67605/69903/22088/11819/18213/23991/12144/29875/80982/50490/14366/18479/78610/21676/64297/18817/233878/78388/15461/13491/12577/12443/16337/26400/14456/20377/69068/11502/14182/211323/12367/22341/14388/320795/76527/319481/11606/66917/12539/12581/11804/117149/72828/21838/26395/68861/235584/19882/97541/76500/209012/56295/23963/72065/94275/67043",347
"GO:0031346","positive regulation of cell projection organization","333/10656","471/28928",0.707006369426752,1.91932059447983,15.3616776025173,4.37332689210014e-51,2.85928112205507e-48,8.56251370453291e-49,"620393/29819/12633/12168/329165/22349/98733/13838/20720/208727/59041/74117/19735/103967/22782/18845/52906/20393/17118/14360/103199/54198/12484/53404/93759/18483/19205/20869/216166/54712/216344/74053/16971/13169/12323/12808/66713/14025/23964/216739/22416/22368/18208/11932/13543/13385/18643/18015/18103/18102/16400/18053/12775/15114/11858/14824/17762/56699/20698/53860/108100/16570/14226/80913/18760/11845/18080/18222/217715/21809/68732/193385/73710/68750/18003/20354/26564/56320/15387/18212/11881/13803/17755/18708/16398/22418/12159/219103/21821/50769/19229/76965/66573/223255/20356/72844/104445/140570/12805/22408/19385/13544/71751/74143/545156/56637/13837/19876/268902/11504/21844/18546/13508/24001/100310872/21648/100040531/17356/27279/224617/22084/215445/23969/18010/12305/22339/20807/71461/66515/21770/18519/13640/11682/72722/260409/104215/18189/11789/22240/225523/13176/17919/23789/12631/104252/225849/13660/13728/14297/22359/107765/74055/319740/18011/56392/71653/227541/18761/667663/99152/14810/269254/107746/99412/69601/24136/329421/16403/18024/50884/241514/17242/53872/12064/17005/20779/228880/11538/12162/12561/269397/723951/20257/192167/665113/18759/20482/72162/20713/12904/99662/229715/214459/54673/68151/17096/252838/12801/100862177/21812/19266/26563/16975/19268/56401/11426/242687/13844/230872/56717/56226/59002/13542/11603/100504239/100042493/18829/14362/15234/50791/19699/15194/231225/52822/12492/23790/56455/231672/13048/56430/319974/16885/76571/15507/13047/11423/69871/71951/14086/19353/75788/243725/17295/73178/243743/19242/208647/109880/14056/68169/18844/16438/52163/67784/20315/19713/13860/232560/67425/232906/232944/11816/269878/18223/245886/11771/19259/20430/16001/244058/18213/14159/29875/12877/14366/233489/18479/17760/18442/69710/11785/16202/101565/64297/13631/15461/101513/16150/14182/211323/23965/382056/18997/74187/234593/71955/234776/76454/23854/11606/330863/244667/18186/16412/13430/13857/68743/330914/235180/19649/330938/20361/320563/20320/26395/235442/17427/69981/20616/17973/23999/114602/80987/235611/54214/67095/15185/12361/75974/23963/14265/16728/192176",333
