"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032279","asymmetric synapse","167/3543","487/28829",0.342915811088296,2.79026811116694,14.9148907228537,4.07498846790485e-37,3.07661629326816e-34,1.74581084888134e-34,"Rims1/Dst/Sema4c/Bmpr2/Erbb4/Epha4/C1ql2/Adora1/Kcnk2/Slc30a1/Grik2/Ank3/Bcr/Adora2a/Abhd17a/Pip5k1c/Anks1b/Plxnc1/Lin7a/Grip1/Vdac1/Arf1/Arhgap44/Shisa6/Efnb3/Abr/Asic2/Dynll2/Ppp1r9b/Srcin1/Grn/Crhr1/Mapt/Kpna2/Cacng4/Grin2c/Baiap2/Slc16a3/Dtnb/Gphn/Sipa1l1/Dbn1/Dapk1/Map1b/Camk2g/Grid1/Ptk2b/Adgrb1/Arc/Scrib/Elfn2/Pick1/Mapk8ip2/Shank3/Prickle1/Asic1/Scn8a/Pak2/Kalrn/Tiam1/Afdn/Pdpk1/Syngap1/Grm4/Pacsin1/Ptprs/Dlgap1/Cript/Cdh2/Pura/Nr3c1/Synpo/Camk2a/Lrfn4/Cnih2/Cfl1/Dagla/Abhd17b/Slc1a1/Cpeb3/Crtac1/Psd/Sorcs3/Add3/Adra2a/Ablim1/Grin1/Notch1/Ncs1/Abl1/Rpl12/Pkp4/Tanc1/Dgkz/Map1a/Usp8/Epb41l1/Ptprt/Nlgn1/Arhgef2/Syt11/Rusc1/Atp1a1/Sort1/Camk2d/Pdlim5/Epha7/Sigmar1/Grin3a/Dnajc6/Pde4b/Lrp8/Ptprf/Macf1/Grik3/Oprd1/Sh2d5/Camk2n1/Clstn1/Prkcz/Tmem240/Dvl1/Klhl17/Grm3/Pclo/Magi2/Adra2c/Sorcs2/Mapk10/Rpl5/Rnf10/Hip1r/Hspb1/Plxna4/Iqsec1/Cacna1c/Erc1/Phb2/Chd4/Gapdh/Grin2b/Eps8/Slc8a2/Lrfn3/Shank1/Lrrc4b/Grin2d/Sema4b/Cpeb1/Dlg2/Insyn2a/Shank2/Efnb2/Nrg1/Vps35/Egln1/Disc1/Olfm2/Dnm2/Igsf9b/Cadm1/Insyn1/Adam10/Ryk/Tmem108/Celsr3/Map4",167
"GO:0014069","postsynaptic density","157/3543","463/28829",0.339092872570194,2.75916128233873,14.2840009462254,2.65626605273666e-34,1.00274043490809e-31,5.69000149191485e-32,"Rims1/Dst/Sema4c/Bmpr2/Erbb4/Epha4/Kcnk2/Slc30a1/Grik2/Ank3/Bcr/Abhd17a/Pip5k1c/Anks1b/Lin7a/Grip1/Vdac1/Arf1/Arhgap44/Shisa6/Efnb3/Abr/Asic2/Dynll2/Ppp1r9b/Srcin1/Crhr1/Mapt/Kpna2/Cacng4/Grin2c/Baiap2/Slc16a3/Dtnb/Gphn/Sipa1l1/Dbn1/Dapk1/Map1b/Camk2g/Grid1/Ptk2b/Adgrb1/Arc/Scrib/Elfn2/Pick1/Mapk8ip2/Shank3/Prickle1/Asic1/Scn8a/Pak2/Kalrn/Tiam1/Afdn/Pdpk1/Syngap1/Pacsin1/Ptprs/Dlgap1/Cript/Cdh2/Pura/Nr3c1/Synpo/Camk2a/Lrfn4/Cnih2/Cfl1/Dagla/Abhd17b/Cpeb3/Crtac1/Psd/Sorcs3/Add3/Adra2a/Ablim1/Grin1/Notch1/Ncs1/Abl1/Rpl12/Pkp4/Tanc1/Dgkz/Map1a/Usp8/Epb41l1/Ptprt/Nlgn1/Arhgef2/Syt11/Rusc1/Atp1a1/Camk2d/Pdlim5/Epha7/Sigmar1/Grin3a/Dnajc6/Pde4b/Lrp8/Ptprf/Macf1/Grik3/Oprd1/Sh2d5/Camk2n1/Clstn1/Prkcz/Tmem240/Dvl1/Klhl17/Grm3/Pclo/Magi2/Adra2c/Sorcs2/Mapk10/Rpl5/Rnf10/Hip1r/Hspb1/Iqsec1/Cacna1c/Erc1/Phb2/Gapdh/Grin2b/Eps8/Slc8a2/Lrfn3/Shank1/Lrrc4b/Grin2d/Sema4b/Cpeb1/Dlg2/Insyn2a/Shank2/Efnb2/Nrg1/Vps35/Egln1/Disc1/Olfm2/Dnm2/Igsf9b/Cadm1/Insyn1/Adam10/Ryk/Tmem108/Celsr3/Map4",157
"GO:0045211","postsynaptic membrane","128/3543","406/28829",0.315270935960591,2.56532481309847,11.8900941882828,7.50758315230685e-25,1.88940842666389e-22,1.07213555894347e-22,"Sema4c/Erbb4/Epha4/Adora1/Cnih3/Kcnk2/Slc30a1/Utrn/Grik2/Col13a1/Ank3/Adora2a/Abhd17a/Lin7a/Grip1/Vwc2/Grm6/Vdac1/Shisa6/Efnb3/Nlgn2/Asic2/Akap1/Ppp1r9b/Crhr1/Cacng4/Grin2c/Slc16a3/Gphn/Flrt2/Sema4d/Dbn1/Ptch1/Slc6a3/F2r/Grid1/Pcdh8/Farp1/Adgrb1/Arc/Scrib/Elfn2/Kcnj4/Shank3/Asic1/Scn8a/Itga5/Tiam1/Afdn/Cacna1h/Pacsin1/Gabbr1/Ptprs/Dlgap1/Cdh2/Kcnn2/Lrfn4/Cnih2/Dagla/Abhd17b/Sorcs3/Adra2a/Grin1/Notch1/Ptprt/Kcnb1/Nlgn1/Pcdh10/Kcnc4/Adgrl2/Epha7/Sigmar1/Gabbr2/Grin3a/Lpar1/Lrp8/Ptprf/Grik3/Oprd1/Ephb2/Usp48/Fbxo2/Clstn1/Tmem240/Grm3/Magi2/Dok7/Adra2c/Sorcs2/Kctd8/Sez6l/Rnf10/Hip1/Hspb1/Nptx2/Cadps2/Lrrtm1/Cacna1c/Grin2b/Slc8a2/Lrfn3/Shank1/Lrrc4b/Kcnc3/Grin2d/Gabrg3/Gabra5/Gabrb3/Ntrk3/Sema4b/Dlg2/Arrb1/Shank2/Efnb2/Nrg1/Clcn3/Gnao1/Slc9a5/Olfm2/Dnm2/Igsf9b/Cadm1/Ncam1/Adam10/Ryk/Tmem108/Dag1/Celsr3",128
"GO:0031252","cell leading edge","138/3543","484/28829",0.285123966942149,2.32002225316828,10.9627237109154,4.39962818299292e-22,8.30429819539914e-20,4.71223334336347e-20,"Dst/Epb41l5/Cxcr4/Adora1/Ptprk/Adora2a/Hcn2/Abca7/Pip5k1c/Atp2b1/Nf2/Arf1/Arhgap44/Shisa6/Gas7/Myo1c/Flot2/Ppp1r9b/Srcin1/Mapt/Nherf1/Baiap2/P4hb/Rac3/Itgb1bp1/Syne2/Evl/Cdc42bpb/Dbn1/Rasa1/Jmy/Arf4/Appl1/Fermt2/Ajuba/Spata13/Ptk2b/Myo10/Scrib/Myh9/Lima1/Fignl2/Itga5/Acap2/Robo1/App/Tiam1/Itsn1/Ezr/Tnfrsf12a/Mapk8ip3/Pacsin1/Gabbr1/Fer/Jcad/Rock1/Cdh2/Diaph1/Spry4/Dpysl3/Snx2/Ablim3/Cfl1/Fam89b/Dagla/Kank1/Psd/Slk/Ablim1/Vim/Grin1/Phpt1/Notch1/Abl1/Aif1l/Sh2d3c/Itgav/Dgkz/Caprin1/Lamp5/Src/Kcnb1/Rab22a/Prkci/Arhgef2/Cttnbp2nl/Kcnc4/Pkn2/Lmo4/Bspry/Macf1/Oprd1/Wasf2/Plekhg5/Prkcz/Cdk6/Rufy3/Ptpn13/Coro1c/Pxn/Tesc/Clip1/Hip1r/Limk1/Sh2b2/Actb/Fscn1/Podxl/Antxr1/Frmd4b/Mtmr14/Brk1/Plxnd1/Atn1/Eps8/Vasp/Kcnc3/Gabrg3/Gabra5/Inppl1/Ilk/Parva/Coro1a/Arhgef7/Dlc1/Fat1/Sh3rf1/Slc9a5/Carmil2/Bcar1/Plcg2/Dnm2/Rdx/Pstpip1/Tln2/Twf2/Dag1/Clasp2",138
"GO:0150034","distal axon","122/3543","430/28829",0.283720930232558,2.3086058982993,10.2339748052319,1.7470572710478e-19,2.63805647928218e-17,1.4969522301399e-17,"Cdk5r2/Epha4/Cxcr4/Adora1/Kif21b/Kcnk2/Esr1/Mical1/Grik2/Ap3d1/Atcay/Grip1/Dctn2/Ppp1r9b/Hap1/Hdac5/Mapt/Exoc7/Aatk/Rac3/Kif3c/Calm1/Cplx2/Dbn1/Ptch1/Slc6a3/Map1b/Snx18/Ptk2b/Csnk1e/Rtn4r/Septin5/Tnk2/App/Tiam1/Itsn1/Mapk8ip3/Grm4/Pacsin1/Ptprs/Nrxn1/Dpysl3/Cfl1/Slc1a1/Zfyve27/Crtac1/Adra2a/Cacna1b/Grin1/Setx/Tor1a/Ncs1/Abl1/Kif5c/Tanc1/Lrp2/Bdnf/Kcnip3/Lamp5/Src/Ntsr1/Syt11/Hcn3/Tpm3/Lrig2/Kcnc4/Wdr47/Cnr1/Sigmar1/Ror1/Ptprf/Grik3/Oprd1/Dvl1/Agrn/Pclo/Cad/Ucn/Adra2c/Crmp1/Rufy3/Cplx1/Pebp1/Auts2/Limk1/Actb/Fscn1/Lmtk2/Smo/Snca/Lrrtm1/Kcna6/Fkbp4/Grin2b/Eps8/Slc8a2/Tshz3/Kcnc3/Gabrb3/Polg/Cpeb1/Stim1/Ilk/Prkcb/Taok2/Shank2/Arhgef7/Clcn3/Rab3a/Unc13a/Adgrl1/Amfr/Disc1/Pard3/Dnm2/Zpr1/Ncam1/Dixdc1/Tpbg/Twf2/Clasp2/Trak1",122
"GO:0005769","early endosome","121/3543","444/28829",0.272522522522523,2.21748569060169,9.67751086076752,7.99797599862416e-18,1.00641197982687e-15,5.71083549375444e-16,"Myo1b/Hspd1/Fzd5/Pikfyve/Abcb6/Epha4/Dner/Bok/Ccdc93/Cxcr4/Rab29/Stx6/Rabgap1l/Psen2/Vps26a/Abca7/Ap3d1/Eea1/Nf2/Rab1a/Wdr81/Hap1/Gga3/Sphk1/Tbc1d16/Uts2r/Snx6/Trim27/Zfyve16/F2r/Appl1/Trio/Arc/Gga1/Pick1/Aqp2/Mgrn1/Vps8/Atp13a3/Tfrc/App/Igf2r/Neurl1b/Kifc1/H2-K1/Atf6b/H2-D1/H2-T22/H2-M5/Ap3s1/Snx2/Marchf3/Ehd1/Dagla/Slc1a1/Pi4k2a/Adrb1/Entr1/Gpr107/Mvb12b/Rab14/Osbpl6/Ehd4/Usp8/Tmem127/Lamp5/Kif16b/Ptpn1/Rab22a/Hps3/Siah2/Rusc1/Sort1/Sh3glb1/Wasf2/Ldlrap1/Rap1gap/Ece1/Mib2/Steap4/Snx17/Zfyve28/Htt/Sorcs2/Pi4k2b/Apbb2/Rasgef1b/Tpcn1/Vps33a/Slc15a4/Lmtk2/Wdr91/Stambp/Rab11fip5/Arl8b/Ret/Pld3/Clip3/Plekhf1/Nucb1/St8sia2/P2ry2/Rabep2/Coro1a/Inpp5f/Kcnq1/Atp11a/Clcn3/Ap1m1/Vps35/Siah1a/Nae1/Rab4a/Vps26b/Cln6/Tbc1d2b/Ephb1/Tmem108/Trak1/Ackr2/Atp11c",121
"GO:0098839","postsynaptic density membrane","61/3543","158/28829",0.386075949367089,3.14145739325538,10.1034414071559,3.18950817607777e-17,3.44011238991245e-15,1.95207492881752e-15,"Sema4c/Erbb4/Epha4/Kcnk2/Slc30a1/Grik2/Abhd17a/Lin7a/Vdac1/Shisa6/Efnb3/Asic2/Crhr1/Cacng4/Grin2c/Slc16a3/Grid1/Arc/Scrib/Elfn2/Asic1/Scn8a/Tiam1/Afdn/Pacsin1/Ptprs/Lrfn4/Cnih2/Dagla/Abhd17b/Sorcs3/Adra2a/Grin1/Notch1/Ptprt/Epha7/Sigmar1/Grin3a/Lrp8/Ptprf/Grik3/Oprd1/Clstn1/Tmem240/Adra2c/Sorcs2/Rnf10/Hspb1/Cacna1c/Grin2b/Lrfn3/Lrrc4b/Grin2d/Sema4b/Dlg2/Efnb2/Nrg1/Olfm2/Ryk/Tmem108/Celsr3",61
"GO:0043197","dendritic spine","79/3543","243/28829",0.325102880658436,2.64532626206663,9.64120323853621,1.00718810402787e-16,8.99072143124892e-15,5.10174084701054e-15,"Ncoa2/Mob4/Epha4/Adora1/Bcr/Dip2a/Abhd17a/Anks1b/Atp2b1/Grip1/Myl7/Arhgap44/Shisa6/Abr/Sez6/Asic2/Ppp1r9b/Ppp1r1b/Hap1/Baiap2/Prkar2b/Sipa1l1/Dbn1/Map1b/Arf4/Ptk2b/Farp1/Asap1/Adgrb1/Arc/Pick1/Shank3/Asic1/App/Tiam1/Itsn1/Gabbr1/Cript/Nr3c1/Kcnn2/Synpo/Camk2a/Cnih2/Cfl1/Dagla/Abhd17b/Slc1a1/Psd/Grin1/Usp8/Kif3b/Ntsr1/Nlgn1/Syt11/Cnn3/Ppp3ca/Lpar1/Pde4b/Oprd1/Ephb2/Fbxo2/Clstn1/Espn/Dvl1/Grm3/Sorcs2/Septin11/Hip1r/Grin2b/Slc8a2/Shank1/Kcnc3/Cpt1c/Arrb1/Shank2/Slc9a5/Aplp2/Adam10/Nedd4",79
"GO:0044309","neuron spine","80/3543","248/28829",0.32258064516129,2.62480311017636,9.61923729130631,1.0717416275661e-16,8.99072143124892e-15,5.10174084701054e-15,"Ncoa2/Mob4/Epha4/Adora1/Bcr/Dip2a/Abhd17a/Anks1b/Eea1/Atp2b1/Grip1/Myl7/Arhgap44/Shisa6/Abr/Sez6/Asic2/Ppp1r9b/Ppp1r1b/Hap1/Baiap2/Prkar2b/Sipa1l1/Dbn1/Map1b/Arf4/Ptk2b/Farp1/Asap1/Adgrb1/Arc/Pick1/Shank3/Asic1/App/Tiam1/Itsn1/Gabbr1/Cript/Nr3c1/Kcnn2/Synpo/Camk2a/Cnih2/Cfl1/Dagla/Abhd17b/Slc1a1/Psd/Grin1/Usp8/Kif3b/Ntsr1/Nlgn1/Syt11/Cnn3/Ppp3ca/Lpar1/Pde4b/Oprd1/Ephb2/Fbxo2/Clstn1/Espn/Dvl1/Grm3/Sorcs2/Septin11/Hip1r/Grin2b/Slc8a2/Shank1/Kcnc3/Cpt1c/Arrb1/Shank2/Slc9a5/Aplp2/Adam10/Nedd4",80
"GO:0030427","site of polarized growth","80/3543","250/28829",0.32,2.60380468529495,9.53346406831642,1.80202007800784e-16,1.36052515889592e-14,7.7202333868336e-15,"Cdk5r2/Epha4/Cxcr4/Kif21b/Atcay/Dctn2/Grm6/Ppp1r9b/Hap1/Hdac5/Mapt/Exoc7/Aatk/Rac3/Kif3c/Calm1/Dbn1/Ptch1/Map1b/Snx18/Ptk2b/Csnk1e/Rtn4r/Tnk2/App/Tiam1/Mapk8ip3/Ptprs/Nrxn1/Dpysl3/Cfl1/Pi4k2a/Zfyve27/Crtac1/Grin1/Setx/Tor1a/Abl1/Kif5c/Lrp2/Lamp5/Src/Tpm3/Lrig2/Wdr47/Cnr1/Sigmar1/Ptprf/Dvl1/Agrn/Pclo/Crmp1/Rufy3/Auts2/Limk1/Fscn1/Lmtk2/Smo/Snca/Lrrtm1/Fkbp4/Eps8/Tshz3/Trpm1/Cpeb1/Stim1/Taok2/Shank2/Arhgef7/Adgrl1/Amfr/Cotl1/Disc1/Pard3/Dnm2/Zpr1/Ncam1/Twf2/Clasp2/Trak1",80
