"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0106310","protein serine kinase activity","113/3482","363/28409",0.31129476584022,2.5397969565637,11.035220381471,1.06683869271505e-21,7.20399053100104e-19,4.44147006956411e-19,"Stk17b/Pikfyve/Stk16/Speg/Pask/Mapkapk2/Nuak2/Akt3/Mark1/Nek2/Map3k5/Cdk19/Bcr/Stk11/Csnk1g2/Nuak1/Dyrk2/Cdk2/Stk10/Mapk9/Obscn/Mapk7/Ulk2/Camkk1/Haspin/Wnk4/Tlk2/Ern1/Aatk/Prkd1/Map3k9/Cdc42bpb/Akt1/Cdk13/Ripk1/Dapk1/Mast4/Map3k1/Camk2g/Mapk8/Lats2/Prkaa1/Trio/Csnk1e/Pim3/Pak2/Tnk2/Kalrn/Hunk/Dyrk1a/Rps6ka2/Map3k4/Pdpk1/Stk38/Pim1/Prkce/Map3k8/Rock1/Stk32a/Camk2a/Map3k11/Rps6ka4/Mark2/Slk/Cdk9/Prkci/Plk4/Dclk2/Hipk1/Camk2d/Pkn2/Prkacb/Mos/Ripk2/Tesk2/Plk3/Stk40/Pdik1l/Prkcz/Cdk6/Stk32b/Bmp2k/Mapk10/Cdc7/Ulk1/Taok3/Mapkapk5/Camkk2/Limk1/Fam20c/Lmtk2/Eif2ak3/Wnk1/Stk38l/Prkd2/Map3k10/Dyrk1b/Lmtk3/Ilk/Smg1/Plk1/Prkcb/Taok2/Map2k7/Ikbkb/Mast3/Pkn1/Prkaca/Cdk10/Map3k21/Sik3/Mapk6/Oxsr1",113
"GO:0003714","transcription corepressor activity","77/3482","198/28409",0.388888888888889,3.1728731890995,11.4672014511813,1.17042900584907e-21,7.20399053100104e-19,4.44147006956411e-19,"Zfp451/Arid5a/Hdac4/Kdm5b/Tle5/Tle2/Ddit3/Pa2g4/Bcl11a/Gps2/Mybbp1a/Tob1/Med1/Ezh1/Hdac5/Id2/Rcor1/Mta1/Gmnn/Cdyl/Mier3/Ajuba/Hr/Rbfox2/Tob2/Yaf2/Crebbp/Daxx/Hspa1a/Kctd1/Hdac3/Tcerg1/Rcor2/Mta2/Tle4/Lcor/Id1/Dnmt3b/Cbfa2t2/Tbl1xr1/Hipk1/Lmo4/Runx1t1/Casp8ap2/Tle1/Mier1/Spen/Pex14/Rere/Ski/Noc2l/Kmt5a/Ncor2/Ezh2/Jazf1/Rybp/Atn1/Chd4/Bhlhe41/Trim28/Irf2bp1/Bcl3/Map3k10/Kctd15/Uri1/Ctbp2/Ccnd1/Cnot7/Sap30/Brd7/Hsbp1/Zfpm1/Cbfa2t3/Irf2bp2/Sin3a/Tle3/Bcor",77
"GO:0030695","GTPase regulator activity","125/3482","433/28409",0.288683602771363,2.35531662008376,10.6216407586956,1.00232741140583e-20,2.86361288958351e-18,1.76550078531763e-18,"Arfgef1/Arhgef4/Tbc1d8/Sh3bp4/Agap1/Farp2/Rabif/Rgl1/Rabgap1l/Stxbp5/Bcr/Fgd6/Agap2/Tns3/Rasgef1c/Sh3bp5l/Obscn/Flcn/Arhgap44/Rangrf/Rap1gap2/Sgsm2/Abr/Rapgefl1/Grb2/Llgl2/Cyth1/Tbc1d16/Arhgdia/Asap2/Itgb1bp1/Sipa1l1/Eif2b2/Tbc1d7/Rasa1/Rasgrf2/Sh3bp5/Arhgap22/Arhgef40/Spata13/Dock5/Tbc1d4/Farp1/Dock9/Trio/Asap1/Dennd3/Arhgap39/Rangap1/Prr5/Eif2b5/Acap2/Kalrn/Tiam1/Itsn1/Syngap1/Rgl2/Ralbp1/Arhgap12/Arhgap26/Rin1/Sipa1/Cdc42ep2/Arhgap19/Psd/Usp6nl/Gpsm1/Vav2/Ralgds/Sh2d3c/Garnl3/Ralgps1/Dab2ip/Ralgapb/Arhgef2/Dennd2c/Arhgap29/Rap1gds1/Dennd4c/Rcc1/Sesn2/Rap1gap/Arhgef19/Plekhg5/Agap3/Depdc5/Cpeb2/Tbc1d1/Rasgef1b/Evi5/Pgam5/Hps4/Stard13/Iqsec1/Srgap3/Rasgef1a/Dennd5b/Plekhg2/Sipa1l3/Tbc1d17/Nucb1/Akap13/Wnt11/Arrb1/Arhgef17/Nucb2/Rabep2/Tbc1d10b/Arhgef18/Evi5l/Arhgef7/Grtp1/Rasa3/Dlc1/Gmip/Arhgap10/Sipa1l2/Arhgap42/Dock6/Rgl3/Arhgef12/Arhgap20/Tbc1d2b/Rasa2/Dock11",125
"GO:0060589","nucleoside-triphosphatase regulator activity","125/3482","433/28409",0.288683602771363,2.35531662008376,10.6216407586956,1.00232741140583e-20,2.86361288958351e-18,1.76550078531763e-18,"Arfgef1/Arhgef4/Tbc1d8/Sh3bp4/Agap1/Farp2/Rabif/Rgl1/Rabgap1l/Stxbp5/Bcr/Fgd6/Agap2/Tns3/Rasgef1c/Sh3bp5l/Obscn/Flcn/Arhgap44/Rangrf/Rap1gap2/Sgsm2/Abr/Rapgefl1/Grb2/Llgl2/Cyth1/Tbc1d16/Arhgdia/Asap2/Itgb1bp1/Sipa1l1/Eif2b2/Tbc1d7/Rasa1/Rasgrf2/Sh3bp5/Arhgap22/Arhgef40/Spata13/Dock5/Tbc1d4/Farp1/Dock9/Trio/Asap1/Dennd3/Arhgap39/Rangap1/Prr5/Eif2b5/Acap2/Kalrn/Tiam1/Itsn1/Syngap1/Rgl2/Ralbp1/Arhgap12/Arhgap26/Rin1/Sipa1/Cdc42ep2/Arhgap19/Psd/Usp6nl/Gpsm1/Vav2/Ralgds/Sh2d3c/Garnl3/Ralgps1/Dab2ip/Ralgapb/Arhgef2/Dennd2c/Arhgap29/Rap1gds1/Dennd4c/Rcc1/Sesn2/Rap1gap/Arhgef19/Plekhg5/Agap3/Depdc5/Cpeb2/Tbc1d1/Rasgef1b/Evi5/Pgam5/Hps4/Stard13/Iqsec1/Srgap3/Rasgef1a/Dennd5b/Plekhg2/Sipa1l3/Tbc1d17/Nucb1/Akap13/Wnt11/Arrb1/Arhgef17/Nucb2/Rabep2/Tbc1d10b/Arhgef18/Evi5l/Arhgef7/Grtp1/Rasa3/Dlc1/Gmip/Arhgap10/Sipa1l2/Arhgap42/Dock6/Rgl3/Arhgef12/Arhgap20/Tbc1d2b/Rasa2/Dock11",125
"GO:0140993","GO:0140993","127/3482","444/28409",0.286036036036036,2.33371560819866,10.5863686423777,1.16312465052133e-20,2.86361288958351e-18,1.76550078531763e-18,"Stk17b/Pikfyve/Stk16/Speg/Hdac4/Pask/Mapkapk2/Nuak2/Kdm5b/Akt3/Mark1/Nek2/Jmjd1c/Bcr/Stk11/Csnk1g2/Dot1l/Nuak1/Eef1akmt3/Cdk2/Stk10/Obscn/Ulk2/Kdm6b/Haspin/Tada2a/Ezh1/Wnk4/Hdac5/Tlk2/Ern1/Aatk/Ncoa1/Riox1/Cdc42bpb/Akt1/Ripk1/Cdyl/Jarid2/Kdm1b/Dapk1/Mast4/Lats2/Hr/Prkaa1/Trio/Csnk1e/Brd1/Pim3/Kmt2d/Crebbp/Pak2/Tnk2/Kalrn/Hunk/Dyrk1a/Rps6ka2/Phf10/Pdpk1/Stk38/Pim1/Ehmt2/Kat2b/Rock1/Hdac3/Stk32a/Setbp1/Kdm2a/Kat5/Rps6ka4/Mark2/Mta2/Slk/Suv39h2/Ehmt1/Wdr5/Ntmt1/Hat1/Ncoa3/Dclk2/Hipk1/Prmt6/Gtf2b/Mos/Ripk2/Rnf20/Mier1/Kdm4a/Meaf6/Stk40/Eya3/Pdik1l/Prdm16/Kmt2c/Nsd2/Stk32b/Clock/Bmp2k/Cdc7/Ulk1/Suds3/Taok3/Mapkapk5/Kdm2b/Kmt5a/Limk1/Fam20c/Lmtk2/Ezh2/Eif2ak3/Hdac11/Brpf1/Wnk1/Stk38l/Lmtk3/Taf10/Smg1/Prkcb/Taok2/Ikbkb/Kat6a/Mast3/Pkn1/Carm1/Kmt2a/Sik3/Oxsr1",127
"GO:0003779","actin binding","128/3482","451/28409",0.283813747228381,2.31558436100261,10.5257640152569,1.7018799731803e-20,3.49169041164157e-18,2.15272887835613e-18,"Dst/Myo1b/Tns1/Cdk5r2/Cxcr4/Fmn2/Vash2/Utrn/Phactr2/Epb41l2/Mical1/Eef2/Pawr/Nf2/Gas2l1/Gas7/Myo1c/Myo18a/Myo19/Ppp1r9b/Limd2/P4hb/Daam1/Syne2/Sptb/Sipa1l1/Vash1/Syne3/Evl/Dbn1/Jmy/Enc1/Map1b/Flnb/Vcl/Fermt2/Ajuba/Myo10/Mtss1/Arc/Plec/Myh9/Pick1/Mrtfa/Shank3/Aqp2/Lima1/Coro7/Mrtfb/Dyrk1a/Ezr/Afdn/Ppp1r18/Daam2/Prkce/Svil/Diaph1/Synpo/Ablim3/Pstpip2/Cfl1/Add3/Ablim1/Tprn/Phpt1/Abl1/Aif1l/Fmnl2/Cobll1/Itprid2/Map1a/Epb41l1/Pfn2/Fhdc1/Rusc1/Tpm3/Cgn/Cnn3/Pdlim5/Tmod1/Ctnnal1/Macf1/Fhl3/Epb41/Wasf2/Crocc/Espn/Mib2/Klhl17/Actr3b/Maea/Ablim2/Afap1/Coro1c/Hip1r/Hip1/Ywhag/Micall2/Fscn1/Flnc/Snca/Antxr1/Mical3/Eps8/Stk38l/Vasp/Sptbn4/Actn4/Whamm/Tlnrd1/Inppl1/Parva/Coro1a/Fhod1/Sntb2/Cotl1/Spire2/Panx1/Dixdc1/Rdx/Pstpip1/Coro2b/Kbtbd13/Tln2/Myo1e/Twf2/Dag1/Clasp2",128
"GO:0004674","protein serine/threonine kinase activity","125/3482","440/28409",0.284090909090909,2.31784567385515,10.4124308493328,4.38154531630723e-20,7.70526040624887e-18,4.75051755346995e-18,"Stk17b/Bmpr2/Pikfyve/Stk16/Speg/Pask/Mapkapk2/Nuak2/Akt3/Mark1/Nek2/Map3k5/Cdk19/Bcr/Stk11/Csnk1g2/Nuak1/Dyrk2/Cdk2/Stk10/Mapk9/Obscn/Mapk7/Ulk2/Camkk1/Haspin/Wnk4/Tlk2/Ern1/Aatk/Prkd1/Map3k9/Ccnk/Cdc42bpb/Akt1/Cdk13/Ripk1/Syk/Dapk1/Mast4/Map3k1/Camk2g/Mapk8/Lats2/Ptk2b/Prkaa1/Trio/Nrbp2/Csnk1e/Pim3/Pak2/Tnk2/Kalrn/Hunk/Dyrk1a/Rps6ka2/Map3k4/Pdpk1/Stk38/Pim1/Ccnd3/Prkce/Map3k8/Rock1/Stk32a/Camk2a/Map3k11/Rps6ka4/Mark2/Slk/Cdk9/Trp53rka/Prkci/Plk4/Dclk2/Hipk1/Camk2d/Pkn2/Prkacb/Mos/Ripk2/Cpne3/Tgfbr1/Tesk2/Plk3/Stk40/Pdik1l/Prkcz/Cdk6/Dbf4/Prkag2/Stk32b/Bmp2k/Mapk10/Cdc7/Tgfbr3/Ulk1/Taok3/Mapkapk5/Camkk2/Limk1/Fam20c/Lmtk2/Eif2ak3/Wnk1/Stk38l/Prkd2/Map3k10/Dyrk1b/Lmtk3/Ilk/Smg1/Plk1/Prkcb/Taok2/Map2k7/Ikbkb/Mast3/Pkn1/Prkaca/Cdk10/Map3k21/Sik3/Mapk6/Oxsr1",125
"GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding","113/3482","387/28409",0.291989664082687,2.38229016855975,10.2330440463902,2.78705201884567e-19,4.28857629399878e-17,2.64403224419438e-17,"Ncoa2/Arid5a/Trip12/Hes6/Hdac4/Esr1/Nrbf2/Egr2/Tcf3/Dot1l/Cry1/Ddit3/Hspa4/Med1/Hdac5/Dnmt3a/Ncoa1/Id2/Ahr/Dact1/Hif1a/Fos/Esrrb/Mta1/H2bc23/Uimc1/Pik3r1/Hr/Med4/Trib1/Tob2/Rarg/Crebbp/Hira/Hes1/Ubxn7/Ets2/Taf11/Ppard/Akap8/Daxx/Rxrb/Hspa1b/Hspa1a/Epas1/Mkx/Gata6/Hdac3/Rnf14/Tcerg1/Ppargc1b/Smad4/Nfatc1/Mta2/Lcor/Rxra/Nr4a2/Lrp2/Sp3/Nfe2l2/Pcna/Src/Ptprt/Tox2/Ncoa3/Cebpb/Hey1/Mef2d/Notch2/Gtf2b/Bcl10/Nr4a3/Rad23b/Klf4/Cdkn2a/Arid1a/Spen/Mad2l2/Trp73/Rbpj/Slc30a9/Rest/Ncor2/Hspb1/Actb/Foxp2/Mdfic/Trim24/Anxa4/Gata2/Xpc/Foxp1/Chd4/Fkbp4/Bhlhe41/Actn4/Cebpa/Med25/Ankrd42/Arrb1/Taf10/Bmal1/Prkcb/Tacc2/Ctbp2/Tacc1/Jund/Pkn1/Zfpm1/Med17/Sin3a/Smad3/Gtf2a2",113
"GO:0019787","ubiquitin-like protein transferase activity","121/3482","463/28409",0.26133909287257,2.13221777410019,9.18037333179869,2.10172032579659e-16,2.87468635672844e-14,1.77232790046706e-14,"Zfp451/Rnf149/Marchf4/Trip12/Ube2f/Asb1/Hdac4/Rc3h1/Shprh/Fbxo30/Sh3rf3/Egr2/Rnf185/Rnf215/Znrf3/Trim41/Trim7/Skp1/Rnf187/Rffl/Med1/Smurf2/Trim47/Rnf157/Cbx4/Trim9/Ubr7/Trim27/Nhlrc1/Rnf44/Med10/Map3k1/Zmiz1/Rnf31/Rnf19a/Ubr5/Mgrn1/Bfar/Atg3/Ltn1/Traf7/Stub1/Neurl1b/Marchf2/Birc6/Rnf125/Rnf138/Rnf14/Trim36/Marchf3/Nedd4l/Malt1/Ark2c/Peli3/Syvn1/Prpf19/Dtx4/Marchf5/Nt5c2/Med27/Ubr3/Traf6/Rnf114/Ube2v1/Siah2/Wwp1/Ube2r2/Rnf38/Rnf20/Bspry/Klhl9/Cdkn2a/Hectd3/Trim62/Rnf19b/Fbxo6/Fbxo2/Klhl21/Mib2/Aurkaip1/Ube3c/Maea/Kctd10/Rnf10/Dtx1/Smurf1/Lnx2/Cnot4/Trim24/Znrf2/Herc3/Rmnd5a/Rnf103/Pdzrn3/Mkrn2/Fbxl14/Klhl42/Ube2s/Trim28/Ube2m/Irf2bp1/Ube3a/Kctd13/Trim72/Cul4a/Rnf122/Sh3rf1/Siah1a/Aktip/Amfr/Znrf1/Rnf166/Med17/Rnf26/Ube2q2/Fbxl22/Nedd4/Bcor/Lonrf3/Ube2a/Rnf128",121
"GO:0031267","small GTPase binding","89/3482","298/28409",0.298657718120805,2.43669359968235,9.31823905094583,3.81590259742447e-16,4.69737609742952e-14,2.89606923446636e-14,"Rims1/Sh3bp4/Rab29/Rabgap1l/Mical1/Xpo1/Ranbp17/Kif3a/Cdc42se2/Arhgap44/Rangrf/Dvl2/Sgsm2/Myo1c/Cdc42ep4/Gga3/Rptor/Arhgdia/Daam1/Cdc42bpb/Tbc1d7/Nup153/Bicd2/Ipo11/Vcl/Xpo4/Dock5/Xpo7/Farp1/Dock9/Gga1/Rangap1/Dvl3/Acap2/Pak2/Afdn/Rab11fip3/Daam2/Ralbp1/Rock1/Diaph1/Rin1/Map3k11/Cdc42ep2/Ehd1/Usp6nl/Mapkap1/Fmnl2/Tmem127/Kif16b/Kif3b/Rims4/Arhgef2/Pkn2/Yipf1/Rcc1/Rap1gap/Dvl1/Depdc5/Evi5/Ulk1/Hps4/Coro1c/Bicdl1/Rilpl2/Rilpl1/Micall2/Rab11fip5/Rab7/Brk1/Erc1/Pex5/Eps8/Dennd5b/Ppp6r1/Plekhg2/Akap13/Whamm/Ipo7/Kctd13/Evi5l/Arhgef7/Rab11fip1/Pkn1/Prkaca/Tnpo2/Gas8/Rgl3/Dock11",89
