"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","70/1650","175/10650",0.4,2.58181818181818,9.03386721068074,2.61680864687438e-15,9.00182174524785e-13,5.288708002104e-13,"14369/14367/72780/21886/14160/407821/26420/21402/21414/22416/216795/13543/74499/57265/170758/208846/12325/26419/27373/22422/106042/12914/13544/75826/19015/12445/76441/68010/14370/12322/494504/17128/18018/16973/21888/14296/22423/107515/18019/81004/20319/22414/108058/19055/18749/21885/26563/192199/67087/13542/14362/26414/93897/14371/21415/22421/14366/22411/18751/13017/12443/20377/18747/20437/93960/18021/21887/17127/20187/14735",70
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","66/1650","181/10650",0.364640883977901,2.35359116022099,7.86410544281606,2.72313817471219e-12,4.68379766050497e-10,2.75180278707758e-10,"20353/12168/13838/12767/18845/107449/13637/54712/18208/13643/170758/20354/19206/218397/18708/12325/20356/140570/224105/20357/19876/18607/18209/20359/13640/19877/20358/12322/319713/93737/12631/226251/11350/20779/18019/12162/13636/13639/20360/269473/108058/19055/13841/13844/18707/18762/231148/16885/319757/243743/18844/259302/20315/20352/16202/15461/13642/18709/18021/234779/93742/19649/69632/20361/270190/20187",66
"Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome","60/1650","162/10650",0.37037037037037,2.39057239057239,7.63624583340919,1.26880091895151e-11,1.45489172039773e-09,8.54771145398909e-10,"14369/14367/16526/14672/12566/21414/22416/216795/19416/13543/12291/57265/12921/11622/13557/218461/12325/22422/381022/11515/13544/224129/58226/16440/12575/12915/14370/12322/17283/22423/140858/84092/12918/320024/15495/22414/108058/18749/12448/12578/12580/242705/13542/12571/14362/93897/14371/208647/21415/22421/12288/12447/18584/14366/22411/233912/12443/18747/11513/214162",60
"Human Diseases","Cancer: specific types","mmu05225","Hepatocellular carcinoma","62/1650","175/10650",0.354285714285714,2.28675324675325,7.34873204625819,5.13839154838513e-11,4.41901673161121e-09,2.5962399402367e-09,"14369/14367/23797/103140/21414/22416/216795/13543/57265/83796/14784/70127/21809/11651/13557/20418/18708/22422/13544/239985/72057/12575/14370/17128/16973/12015/67155/14296/22423/18024/22414/68312/14862/21812/12578/93760/242705/18707/13542/12571/14362/93897/14371/11461/21415/232223/22421/21803/29861/12028/16001/14366/22411/18751/15461/12443/18709/14388/26992/234779/17127/20588",62
"Organismal Systems","Endocrine system","mmu04919","Thyroid hormone signaling pathway","46/1650","120/10650",0.383333333333333,2.47424242424242,6.95377241809869,8.51768690530846e-10,5.86016859085222e-08,3.44293870698784e-08,"17978/18640/23797/13982/18641/11932/19014/72469/17977/15251/11651/18708/21834/67381/210789/18642/12914/18607/20182/18519/15183/12015/18128/20181/68975/16410/20779/17979/56458/329650/18129/11928/18749/12371/18707/76199/11461/18751/15461/12443/18709/18747/234779/234959/20466/20502",46
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","80/1650","270/10650",0.296296296296296,1.91245791245791,6.5023625072057,2.04253623006229e-09,1.17105410523571e-07,6.88012203810454e-08,"211673/347722/12767/30930/18717/216238/216439/11840/28084/11841/66313/19157/211914/72183/74325/14186/218441/11843/105513/13196/11842/78618/22042/16004/215445/19326/14972/15511/193740/14964/15015/15040/15039/667977/240095/67804/83814/93737/13660/319740/73728/72543/16574/22034/98878/84092/20779/19334/18759/229285/54673/107568/12757/21812/72685/100017/18762/213990/242894/14184/75788/11844/70527/52055/19349/232227/11771/16001/109689/14183/15461/11772/75767/65114/19341/93742/13430/69091/17127/17999",80
"Cellular Processes","Cellular community - eukaryotes","mmu04550","Signaling pathways regulating pluripotency of stem cells","50/1650","140/10650",0.357142857142857,2.30519480519481,6.65599714984496,2.77242549935518e-09,1.36244910254026e-07,8.0045969304691e-08,"14369/12168/14367/16324/23797/21423/21414/22416/216795/13543/22658/57265/14784/15902/26380/11651/16468/14186/18708/16880/22422/13544/14370/17128/22423/71041/12151/51869/15901/22414/16600/18707/13542/14362/14184/19712/93897/14371/22421/16001/14366/22411/14183/15461/244349/14182/18709/11906/17127/75590",50
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","45/1650","121/10650",0.371900826446281,2.40045078888054,6.63349041222071,3.99688947513485e-09,1.71866247430798e-07,1.00974049898144e-07,"16367/17164/23797/19165/26408/56484/72843/327826/26420/23939/14784/192662/12313/11651/20418/18708/26401/12325/26419/20112/18607/18037/12322/12015/11350/22034/12064/20661/108058/192656/18707/22062/26414/16923/23921/108960/12028/18213/15461/26400/16150/18709/14388/234779/94275",45
"Human Diseases","Cancer: specific types","mmu05224","Breast cancer","51/1650","147/10650",0.346938775510204,2.23933209647495,6.47835604553769,6.03304101655648e-09,2.30596234410603e-07,1.35478815810391e-07,"14369/14367/23797/13982/21414/22416/216795/13543/57265/14784/17977/14281/11651/16450/13557/20418/18708/14180/22422/13544/15205/12575/14370/16973/14296/22423/18034/18128/16449/17979/15213/18129/22414/56198/242705/18707/13542/12571/14362/93897/14371/21415/22421/12028/16001/14366/22411/15461/12443/14182/18709",51
"Human Diseases","Cancer: overview","mmu05205","Proteoglycans in cancer","64/1650","204/10650",0.313725490196078,2.02495543672014,6.32878274309102,7.44238657001204e-09,2.56018098008414e-07,1.50414549625506e-07,"14369/14367/13869/14733/329251/23797/13982/11735/17931/327826/22416/216795/57265/14784/20969/15251/11651/19206/18708/12325/22422/16402/21844/22350/18607/16440/12575/22339/14370/19877/15200/12322/22423/18569/22325/16410/20779/22414/108058/18749/18707/14362/19303/434233/93897/14371/11461/319757/22421/232807/21803/16001/14366/22411/18751/15461/12443/14182/18709/14388/18747/234779/69632/19684",64
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","97/1650","359/10650",0.270194986072423,1.74398581919473,6.13985654002365,8.72640493286267e-09,2.72898481536796e-07,1.60332033216233e-07,"14369/14367/12835/55927/23797/237336/12566/21414/16362/22416/216795/84653/13543/16399/57265/26941/14784/217325/19719/26932/56217/26931/11651/18708/71978/19219/105782/22422/12824/16402/12914/13544/15205/12575/14972/66237/14964/15015/15040/15039/667977/240095/22339/21770/12445/14370/16774/93737/12015/22423/18128/16410/16449/15213/18759/433586/56458/18129/22414/18749/12448/56198/18707/18762/13542/12571/14362/19664/19303/93897/14371/16848/208647/21415/22421/14924/107932/12447/54131/12028/22215/14366/23859/22411/15461/14082/12443/12826/16150/13685/12845/18709/18747/19651/93742/270118/54721",97
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","53/1650","158/10650",0.335443037974684,2.16513233601841,6.31756601664698,1.15941752262665e-08,3.10401805669158e-07,1.82365809940264e-07,"14369/12168/14367/18016/21414/22416/216795/13543/57265/217325/15902/64010/56217/21809/16475/50523/71978/105782/27373/22422/13544/12445/14370/17128/93737/22423/12156/15901/12162/18759/22414/21812/22062/18762/13542/14362/68473/434233/93897/14371/22628/11461/21415/22421/170770/21803/14366/23859/22411/12443/93960/93742/17127",53
"Human Diseases","Drug resistance: antineoplastic","mmu01522","Endocrine resistance","37/1650","93/10650",0.397849462365591,2.56793743890518,6.50242085212824,1.17303007956368e-08,3.10401805669158e-07,1.82365809940264e-07,"23797/13982/26420/19014/14784/14281/11651/16450/13557/20418/18708/26419/12124/11515/224129/12575/15200/12015/18128/16449/20779/17979/18129/18749/12578/12580/242705/18707/26414/12028/16001/15461/12443/18709/18747/11513/59035",37
"Human Diseases","Infectious disease: viral","mmu05166","Human T-cell leukemia virus 1 infection","72/1650","247/10650",0.291497975708502,1.88148693411851,6.00150521236367,2.7792522497667e-08,6.56398812066064e-07,3.85644344910294e-07,"23797/237336/13654/21423/12566/103573/26420/22333/56310/20850/14281/21809/11651/13557/17702/18708/26401/22334/26419/12914/11515/224129/23872/12575/14972/12915/14964/15015/15040/15039/667977/240095/12445/18519/13653/17128/18018/81601/18034/17222/21939/18019/74343/19055/18749/12448/21812/12578/12580/242705/18707/26414/59008/19384/17120/208647/19698/21803/12447/12028/15461/12443/22335/16150/11739/18709/18747/11513/18021/234729/17127/70549",72
