"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Development and regeneration","mmu04360","Axon guidance","66/1650","181/10650",0.364640883977901,2.35359116022099,7.86410544281606,2.72313817471219e-12,4.68379766050497e-10,2.75180278707758e-10,"20353/12168/13838/12767/18845/107449/13637/54712/18208/13643/170758/20354/19206/218397/18708/12325/20356/140570/224105/20357/19876/18607/18209/20359/13640/19877/20358/12322/319713/93737/12631/226251/11350/20779/18019/12162/13636/13639/20360/269473/108058/19055/13841/13844/18707/18762/231148/16885/319757/243743/18844/259302/20315/20352/16202/15461/13642/18709/18021/234779/93742/19649/69632/20361/270190/20187",66
"Organismal Systems","Nervous system","mmu04722","Neurotrophin signaling pathway","45/1650","121/10650",0.371900826446281,2.40045078888054,6.63349041222071,3.99688947513485e-09,1.71866247430798e-07,1.00974049898144e-07,"16367/17164/23797/19165/26408/56484/72843/327826/26420/23939/14784/192662/12313/11651/20418/18708/26401/12325/26419/20112/18607/18037/12322/12015/11350/22034/12064/20661/108058/192656/18707/22062/26414/16923/23921/108960/12028/18213/15461/26400/16150/18709/14388/234779/94275",45
"Environmental Information Processing","Signal transduction","mmu04010","MAPK signaling pathway","83/1650","299/10650",0.277591973244147,1.79173000912131,5.94561354255451,2.86220412238109e-08,6.56398812066064e-07,3.85644344910294e-07,"13869/17164/23797/26408/13637/67603/13198/26420/23939/12291/12295/72349/17762/54377/14784/170758/338372/14281/21809/11651/14186/218397/19418/26401/26419/14180/60597/224105/20112/26407/30957/58226/13163/15511/193740/22339/13640/26410/18018/26403/56613/18034/240672/12287/12298/22034/12064/54635/13636/13639/19055/18749/21812/14184/26414/330177/17165/15507/18590/14673/19713/12288/19698/21803/269881/16001/109689/18751/381921/14183/15461/26400/16150/14182/319520/22341/16478/18747/18021/234878/114713/235584/75590",83
"Environmental Information Processing","Signal transduction","mmu04020","Calcium signaling pathway","62/1650","255/10650",0.243137254901961,1.56934046345811,3.94007986333818,0.000136021825618554,0.000882858641750612,0.000518692959657642,"13869/12767/320404/11540/14672/67972/22333/11541/12291/72469/14813/20698/12313/14186/14062/12325/22334/14180/19229/11515/58226/16440/22339/21425/12322/14680/18018/11554/12287/14810/18019/18216/54635/108058/19055/18749/19218/242443/15565/14184/252972/18590/19713/12288/14812/110891/20190/14814/18213/20866/18751/14183/22335/14182/11556/11739/22341/13617/18747/11513/18021/234779",62
"Organismal Systems","Nervous system","mmu04728","Dopaminergic synapse","37/1650","137/10650",0.27007299270073,1.74319840743198,3.74866690989036,0.000355635911832238,0.00200555333885721,0.00117829327129922,"23797/26420/19049/26932/14281/12313/26931/11651/13162/12325/26419/71978/224129/16522/16440/12915/21770/12322/14680/12287/16574/108058/19055/18749/14700/12753/26414/434233/208647/12288/14812/14709/109689/11865/18751/18747/14681",37
"Human Diseases","Neurodegenerative disease","mmu05022","Pathways of neurodegeneration - multiple diseases","98/1650","481/10650",0.203742203742204,1.31506331506332,3.02765498427943,0.0020414409181184,0.00780284084258588,0.00458428837752904,"226977/227058/14369/14367/226641/19165/26408/103199/641340/11783/69654/13198/19324/26420/22333/22416/216795/29869/237806/13543/26446/15114/56208/57265/17762/78943/14813/13665/12313/13162/12325/22334/26419/66218/66445/27373/22422/22143/68015/18951/13544/73916/11820/16440/13163/14370/12322/67951/16973/16594/12015/14296/22423/12287/227613/14810/16574/12064/22414/108058/19055/18391/12371/21938/230908/13542/14362/15194/26414/22241/12861/22190/93897/14371/215114/74781/20422/68202/20617/13666/64704/22421/12288/14812/333182/269881/20190/12028/14814/14366/22411/18751/15461/14082/26400/22335/11739/67443",98
"Organismal Systems","Nervous system","mmu04727","GABAergic synapse","25/1650","91/10650",0.274725274725275,1.77322677322677,3.17169425345328,0.002356462790065,0.00871637849228342,0.00512100572374057,"14660/227120/216456/15114/268566/11515/224129/16522/54393/12287/20779/18749/242425/14700/12288/14709/14407/110886/14402/18751/18747/11513/14681/93739/76257",25
"Organismal Systems","Nervous system","mmu04724","Glutamatergic synapse","30/1650","117/10650",0.256410256410256,1.65501165501165,3.05028941317195,0.00294993663518141,0.0103548796173715,0.00608365020359646,"14660/14806/216456/108072/14813/58234/11515/224129/16440/268934/224997/20510/14810/19055/18749/242443/14700/14807/108069/12288/14812/14709/243961/14814/18751/210274/18747/11513/14681/76257",30
"Organismal Systems","Nervous system","mmu04725","Cholinergic synapse","28/1650","114/10650",0.245614035087719,1.58532695374801,2.6902224899261,0.00751414259901918,0.0222833194315741,0.0130917910981096,"23797/14672/14281/11651/18708/12325/16520/11515/224129/16522/16440/12322/12287/16536/108058/18749/14700/18707/208647/12288/14709/18751/15461/16535/18709/18747/11513/14681",28
"Organismal Systems","Nervous system","mmu04720","Long-term potentiation","18/1650","67/10650",0.26865671641791,1.73405698778833,2.58070231524671,0.0115338938471923,0.0325217990445424,0.0191070545182134,"14813/12313/12325/12914/20112/16440/12322/14810/108058/19055/18749/434233/12288/14812/14814/18751/15461/18747",18
NA,NA,"mmu04082","Neuroactive ligand signaling","40/1650","196/10650",0.204081632653061,1.31725417439703,1.91941667709975,0.0378665643486748,0.0892198502461928,0.0524180270724266,"70155/11539/14806/11540/14672/108072/11541/14813/13162/15550/11515/224129/268934/54393/14680/20510/11551/11554/14810/99296/18749/242425/242443/14700/14807/18386/15565/108069/11553/14812/14709/14814/14407/110886/14402/18442/18751/18747/11513/14681",40
"Organismal Systems","Excretory system","mmu04961","Endocrine and other factor-regulated calcium reabsorption","14/1650","62/10650",0.225806451612903,1.4574780058651,1.5468002325767,0.0894986688736722,0.184356539476307,0.108312287574819,"13982/67972/11932/74325/11515/11928/18749/12757/110891/11771/18751/11772/18747/13430",14
"Organismal Systems","Nervous system","mmu04730","Long-term depression","10/1650","60/10650",0.166666666666667,1.07575757575758,0.251958401758598,0.454660126131322,0.668389245252884,0.392688907859711,"14672/12921/16440/12918/14673/20190/16001/18751/15461/14681",10
"Organismal Systems","Nervous system","mmu04726","Serotonergic synapse","18/1650","137/10650",0.131386861313869,0.848042468480425,-0.766468502111511,0.810549091327702,0.983357299502277,0.577737458703908,"15550/224129/11820/16522/16440/140492/12287/19224/18749/14700/15565/12288/14709/14402/18751/15461/18747/14681",18
"Environmental Information Processing","Signaling molecules and interaction","mmu04080","Neuroactive ligand-receptor interaction","55/1650","392/10650",0.14030612244898,0.905612244897959,-0.815271900667089,0.811464615184647,0.983357299502277,0.577737458703908,"226304/70155/11539/14806/11540/108072/11541/12921/14813/217369/13610/14062/15550/21834/14803/14600/19219/23936/17171/268934/54393/14815/14427/11551/11554/14810/320343/11998/99296/18216/12918/70804/19218/12801/242425/242443/14745/14807/18386/15565/108069/22226/11553/14812/114640/14814/14407/110886/14402/18442/11535/11556/13617/14739/94226",55
