"seqnames","start","end","width","strand","V4","V5","V6","V7","V8","V9","annotation","geneChr","geneStart","geneEnd","geneLength","geneStrand","geneId","transcriptId","distanceToTSS","ENSEMBL","SYMBOL","GENENAME"
"chr1",3670519,3670824,306,"*","AcH4K12_TSA_vs_Veh_peak_1",41,".",4.20116,8.1229,4.10634,"Promoter (<=1kb)",1,3214482,3671498,457017,2,"497097","ENSMUST00000070533.4",674,"ENSMUSG00000051951","Xkr4","X-linked Kx blood group related 4"
"chr1",5916861,5917169,309,"*","AcH4K12_TSA_vs_Veh_peak_2",27,".",3.80067,6.34479,2.76767,"Promoter (<=1kb)",1,5913707,5917398,3692,2,"226304","ENSMUST00000044180.4",229,"ENSMUSG00000033774","Npbwr1","neuropeptides B/W receptor 1"
"chr1",10232076,10232419,344,"*","AcH4K12_TSA_vs_Veh_peak_3",19,".",2.67158,5.27537,1.96408,"Promoter (<=1kb)",1,10137571,10232670,95100,2,"211673","ENSMUST00000088615.10",251,"ENSMUSG00000067851","Arfgef1","ADP ribosylation factor guanine nucleotide exchange factor 1"
"chr1",10232826,10233523,698,"*","AcH4K12_TSA_vs_Veh_peak_4",29,".",3.54436,6.65601,2.99644,"Promoter (<=1kb)",1,10173075,10232670,59596,2,"211673","ENSMUST00000131556.1",-156,"ENSMUSG00000067851","Arfgef1","ADP ribosylation factor guanine nucleotide exchange factor 1"
"chr1",11414351,11414624,274,"*","AcH4K12_TSA_vs_Veh_peak_5",18,".",3.07435,5.08818,1.83079,"Promoter (<=1kb)",1,11414509,11975397,560889,1,"320492","ENSMUST00000137824.7",0,"ENSMUSG00000057715","A830018L16Rik","RIKEN cDNA A830018L16 gene"
"chr1",12991815,12992237,423,"*","AcH4K12_TSA_vs_Veh_peak_6",28,".",4.09924,6.50632,2.88682,"Promoter (<=1kb)",1,12866549,12992650,126102,2,"240726","ENSMUST00000188454.6",413,"ENSMUSG00000025938","Slco5a1","solute carrier organic anion transporter family, member 5A1"
"chr1",13374319,13374744,426,"*","AcH4K12_TSA_vs_Veh_peak_7",32,".",3.00329,6.97592,3.23568,"Promoter (<=1kb)",1,13164501,13374083,209583,2,"17978","ENSMUST00000147927.7",-236,"ENSMUSG00000005886","Ncoa2","nuclear receptor coactivator 2"
"chr1",13589101,13589756,656,"*","AcH4K12_TSA_vs_Veh_peak_8",14,".",2.60459,4.63198,1.49886,"Promoter (<=1kb)",1,13578118,13589875,11758,2,"72265","ENSMUST00000188377.1",119,"ENSMUSG00000025935","Tram1","translocating chain-associating membrane protein 1"
"chr1",13660065,13660369,305,"*","AcH4K12_TSA_vs_Veh_peak_9",25,".",2.76647,6.10002,2.57595,"Promoter (<=1kb)",1,13623330,13660546,37217,2,"212442","ENSMUST00000027071.6",177,"ENSMUSG00000025937","Lactb2","lactamase, beta 2"
"chr1",16105952,16106554,603,"*","AcH4K12_TSA_vs_Veh_peak_10",24,".",3.09274,5.92052,2.44679,"Promoter (<=1kb)",1,16105774,16133734,27961,1,"98711","ENSMUST00000027053.7",178,"ENSMUSG00000025921","Rdh10","retinol dehydrogenase 10 (all-trans)"
"chr1",17096954,17097624,671,"*","AcH4K12_TSA_vs_Veh_peak_11",17,".",2.52659,5.00102,1.76612,"Promoter (<=1kb)",1,16994938,17097889,102952,2,"57339","ENSMUST00000038382.4",265,"ENSMUSG00000042686","Jph1","junctophilin 1"
"chr1",20819882,20820142,261,"*","AcH4K12_TSA_vs_Veh_peak_12",16,".",3.14603,4.79195,1.61417,"Promoter (<=1kb)",1,20802973,20820260,17288,2,"17215","ENSMUST00000185296.1",118,"ENSMUSG00000041859","Mcm3","minichromosome maintenance complex component 3"
"chr1",21078743,21079070,328,"*","AcH4K12_TSA_vs_Veh_peak_13",22,".",3.10733,5.72992,2.29989,"Promoter (<=1kb)",1,20996299,21079229,82931,2,"170829","ENSMUST00000037998.5",159,"ENSMUSG00000041779","Tram2","translocating chain-associating membrane protein 2"
"chr1",22805558,22805960,403,"*","AcH4K12_TSA_vs_Veh_peak_14",22,".",2.89055,5.67649,2.26234,"Promoter (<=1kb)",1,22286251,22805724,519474,2,"116837","ENSMUST00000081544.12",0,"ENSMUSG00000041670","Rims1","regulating synaptic membrane exocytosis 1"
"chr1",23382661,23383036,376,"*","AcH4K12_TSA_vs_Veh_peak_15",20,".",2.7861,5.44663,2.08813,"Promoter (<=1kb)",1,23366424,23383175,16752,2,"70155","ENSMUST00000027343.5",139,"ENSMUSG00000026158","Ogfrl1","opioid growth factor receptor-like 1"
"chr1",23762223,23762758,536,"*","AcH4K12_TSA_vs_Veh_peak_16",20,".",2.83114,5.4409,2.08613,"Promoter (<=1kb)",1,23762011,23815739,53729,1,"280645","ENSMUST00000140583.1",212,"ENSMUSG00000026156","B3gat2","beta-1,3-glucuronyltransferase 2"
"chr1",24099745,24100071,327,"*","AcH4K12_TSA_vs_Veh_peak_17",22,".",2.86912,5.69418,2.27112,"Promoter (<=1kb)",1,24011591,24100182,88592,2,"68187","ENSMUST00000187369.6",111,"ENSMUSG00000026153","Fam135a","family with sequence similarity 135, member A"
"chr1",24586499,24586814,316,"*","AcH4K12_TSA_vs_Veh_peak_18",30,".",3.84112,6.78321,3.09637,"Promoter (<=1kb)",1,24279770,24587411,307642,2,"12823","ENSMUST00000051344.5",597,"ENSMUSG00000026141","Col19a1","collagen, type XIX, alpha 1"
"chr1",33813996,33814318,323,"*","AcH4K12_TSA_vs_Veh_peak_19",23,".",3.12498,5.84154,2.37572,"Promoter (<=1kb)",1,33782178,33814211,32034,2,"98403","ENSMUST00000130376.2",0,"ENSMUSG00000042197","Zfp451","zinc finger protein 451"
"chr1",34011103,34011544,442,"*","AcH4K12_TSA_vs_Veh_peak_20",24,".",3.5526,5.92535,2.43902,"Promoter (<=1kb)",1,34011813,34308652,296840,1,"13518","ENSMUST00000097786.9",-269,"ENSMUSG00000026131","Dst","dystonin"
"chr1",34583654,34583990,337,"*","AcH4K12_TSA_vs_Veh_peak_21",24,".",3.64835,5.88466,2.42455,"Intron (ENSMUST00000052670.10/211383, intron 1 of 1)",1,34579657,34590944,11288,1,"211383","ENSMUST00000052670.10",3997,"ENSMUSG00000045174","Amer3","APC membrane recruitment 3"
"chr1",34802585,34802917,333,"*","AcH4K12_TSA_vs_Veh_peak_22",21,".",3.22166,5.50937,2.1322,"Promoter (<=1kb)",1,34801741,34808911,7171,1,"226970","ENSMUST00000160855.1",844,"ENSMUSG00000037509","Arhgef4","Rho guanine nucleotide exchange factor 4"
"chr1",36068520,36069584,1065,"*","AcH4K12_TSA_vs_Veh_peak_23",22,".",3.24051,5.65915,2.25185,"Promoter (<=1kb)",1,36068400,36106446,38047,1,"50785","ENSMUST00000088174.3",120,"ENSMUSG00000045216","Hs6st1","heparan sulfate 6-O-sulfotransferase 1"
"chr1",36243837,36244172,336,"*","AcH4K12_TSA_vs_Veh_peak_24",36,".",3.75121,7.55279,3.6747,"Promoter (<=1kb)",1,36143486,36244161,100676,2,"320011","ENSMUST00000174266.7",0,"ENSMUSG00000037470","Uggt1","UDP-glucose glycoprotein glucosyltransferase 1"
"chr1",36308163,36308617,455,"*","AcH4K12_TSA_vs_Veh_peak_25",19,".",3.3094,5.24224,1.93946,"Promoter (<=1kb)",1,36307779,36316578,8800,1,"214855","ENSMUST00000140218.1",384,"ENSMUSG00000037447","Arid5a","AT-rich interaction domain 5A"
"chr1",36368605,36368952,348,"*","AcH4K12_TSA_vs_Veh_peak_26",21,".",3.19188,5.49567,2.11974,"Promoter (<=1kb)",1,36367966,36369102,1137,2,"226976","ENSMUST00000188957.1",150,"ENSMUSG00000010453","Kansl3","KAT8 regulatory NSL complex subunit 3"
"chr1",36471089,36471349,261,"*","AcH4K12_TSA_vs_Veh_peak_27",42,".",4.07787,8.32106,4.2577,"Promoter (<=1kb)",1,36471620,36508764,37145,1,"94220","ENSMUST00000153128.1",-271,"ENSMUSG00000037408","Cnnm4","cyclin M4"
